Fish Name,Latitude,Longitude,Temperature,Depth,Distance(km)
Salmon,,77.3907 ,unknown,?,55.64
Barracuda,NA,null,,531,NaN
Cod, 10.8179 ,null,,120,
Tuna,,77.8856,32.4,,
Sardine, 10.1661 ,78.4999 ,,?,
Barracuda,10.5834,,unknown,?,58.37
Snapper,,,,,NaN
Tuna,,77.4985,,?,
Shark,,78.4879,,335,NaN
Barracuda, 9.6539 ,null,23.6,?,
Barracuda, 9.2679 ,78.3951,unknown,?,
Anchovy,,79.1463 ,,,NaN
Grouper,NA,,,,54.82
Sardine,,,25.0,,92.05
Barracuda,NA,,28.4,506,NaN
Snapper,9.2288,,,?,NaN
Snapper,,,unknown,375,NaN
Sardine,,,27.9,,
Salmon,,null,,435,15.76
Anchovy,10.709,,unknown,?,44.71
Sardine,10.3999,null,unknown,?,NaN
Tuna,,78.4728 ,,564,86.63
Mackerel,,null,32.2,,NaN
Sardine,,,32.5,,
Salmon,10.4061,null,25.5,?,69.56
Mackerel,9.723,77.8352 ,29.1,?,NaN
Salmon, 10.4042 ,,,?,NaN
Tuna,10.1668,null,unknown,46,
Mackerel,,,,,15.44
Grouper, 9.9528 ,78.3351,,?,
Anchovy,NA,78.3853 ,23.2,,
Barracuda,NA,79.3992 ,,?,
Cod,10.9621,null,24.2,?,
Anchovy,10.2935,,unknown,43,
Tuna,NA,78.2469,,,
Grouper,,,,597,NaN
Barracuda,,,,,39.47
Cod,NA,78.9148 ,unknown,,
Barracuda,9.0735,,unknown,?,
Anchovy, 9.4745 ,,,?,NaN
Salmon,NA,79.2027,unknown,586,NaN
Grouper, 9.9051 ,null,,,
Barracuda,NA,78.2934 ,,?,10.81
Anchovy,,null,,,NaN
Snapper, 9.7585 ,79.0602,,?,2.19
Anchovy,,null,,441,
Barracuda,NA,79.9311,27.3,,3.3
Shark,,null,unknown,192,26.48
Sardine,NA,77.5186,26.1,,
Barracuda,9.5987,78.0604 ,,?,
Mackerel,NA,,unknown,?,95.56
Barracuda,NA,77.5885 ,,?,62.04
Cod, 10.6639 ,78.2325,31.2,42,NaN
Barracuda,9.7205,,unknown,?,12.81
Tuna,10.1089,79.7921 ,unknown,?,NaN
Snapper,,null,32.4,,6.48
Salmon,10.4606,77.0258 ,unknown,?,38.79
Grouper,NA,,,459,87.03
Sardine, 9.7945 ,77.6719,unknown,,4.5
Barracuda,NA,null,25.4,,77.83
Anchovy,NA,79.7407 ,,,
Tuna, 9.4968 ,77.5394,,,2.23
Mackerel,,,,,37.44
Shark, 9.8828 ,null,unknown,,NaN
Snapper,NA,78.4054 ,24.5,448,NaN
Tuna,,79.1937 ,27.2,203,
Barracuda,10.0846,77.7106,28.8,201,
Mackerel, 10.0724 ,,29.0,494,54.06
Mackerel, 9.1887 ,79.4028 ,unknown,479,NaN
Anchovy,,79.8483,23.3,92,37.79
Mackerel, 10.7582 ,null,26.5,?,NaN
Shark,,78.083,unknown,?,NaN
Barracuda,,null,32.8,,NaN
Shark,9.1938,79.5713 ,unknown,,20.22
Tuna,NA,77.9959,,427,
Barracuda,NA,78.9171 ,,,39.27
Tuna,10.6347,null,,,
Tuna,,null,25.9,31,40.56
Tuna,10.6577,null,,,NaN
Grouper,NA,,,?,12.19
Barracuda,,,23.7,?,28.82
Shark,,null,,?,83.82
Snapper,9.7736,,unknown,,79.16
Cod,,,28.8,264,56.24
Snapper,,79.9614,unknown,?,
Anchovy,NA,78.9293 ,,,4.35
Anchovy, 10.3433 ,,unknown,?,NaN
Tuna,,77.8535,25.8,145,NaN
Sardine,NA,77.9801 ,,,15.88
Grouper,10.8022,79.6331,26.6,,NaN
Cod, 9.575 ,79.7221 ,32.9,,NaN
Anchovy,10.4514,77.1984,29.9,?,NaN
Tuna,10.2975,79.2462 ,,81,11.42
Mackerel,10.7862,null,,?,
Shark,,79.4195 ,,?,
Anchovy,,77.446,,?,
Grouper,NA,,,,NaN
Cod,10.6841,null,,187,70.14
Sardine,,79.5409,30.6,31,51.44
Cod,9.1578,78.3094,28.9,?,31.65
Shark, 10.6887 ,null,unknown,165,32.2
Cod, 10.5058 ,,unknown,?,NaN
Snapper,10.6037,null,27.9,230,NaN
Tuna,,,,,NaN
Anchovy, 10.8 ,,,?,
Barracuda, 10.9811 ,,unknown,,84.28
Shark, 9.8411 ,78.4063 ,23.0,?,26.08
Snapper, 10.6025 ,77.0647 ,,,NaN
Grouper, 10.1326 ,null,unknown,,14.47
Snapper,10.9595,null,unknown,?,
Anchovy, 9.3133 ,79.748 ,unknown,91,NaN
Tuna,10.4364,79.2134,25.0,305,NaN
Sardine, 10.9033 ,,32.2,?,
Shark,NA,null,26.7,114,16.38
Cod,9.7686,,unknown,?,NaN
Mackerel, 10.0695 ,78.4687 ,unknown,?,40.8
Mackerel,,,,282,14.35
Grouper,9.6661,,24.1,178,
Barracuda,NA,,unknown,205,
Barracuda,10.6719,,,128,
Shark,10.0125,null,,?,66.46
Grouper,10.8204,,,188,NaN
Cod,,,unknown,,NaN
Sardine,NA,78.8157 ,,,
Anchovy,10.6714,,,112,NaN
Grouper,,77.2167,,529,75.95
Sardine, 9.5686 ,null,32.8,,
Sardine, 10.2379 ,78.2661,,,
Shark,NA,77.4805,,325,
Barracuda,,78.9356 ,unknown,,12.49
Cod,10.3066,78.3511 ,,?,
Anchovy,NA,78.2816,unknown,442,NaN
Cod,,78.9312 ,24.8,,
Cod, 10.1185 ,,,?,95.25
Shark,9.0859,,unknown,?,
Anchovy, 10.7488 ,null,,249,25.94
Barracuda, 9.9955 ,78.8352 ,unknown,,NaN
Tuna, 9.2251 ,,32.6,,NaN
Shark,,78.1191 ,unknown,169,NaN
Sardine,NA,77.104,unknown,,26.04
Shark, 10.0269 ,null,29.4,?,
Sardine,NA,79.5457,unknown,,NaN
Mackerel,10.0495,,,?,
Grouper,,null,unknown,73,52.33
Anchovy,NA,,32.5,591,3.75
Shark,10.4041,,28.8,486,92.77
Cod,9.8469,78.4983,,,96.62
Salmon,10.5061,,,,NaN
Anchovy,10.0319,null,unknown,,NaN
Snapper,,79.718 ,25.0,171,63.96
Anchovy, 9.9499 ,,,,
Anchovy,NA,null,unknown,54,NaN
Cod, 10.2003 ,null,unknown,,96.63
Barracuda, 10.0073 ,null,,,
Tuna, 9.6395 ,null,,?,
Mackerel,,null,,,
Mackerel,,78.6612,,,89.58
Shark, 9.5546 ,,unknown,,NaN
Snapper,,,unknown,,NaN
Barracuda, 10.6835 ,null,,,
Barracuda, 9.3248 ,null,24.8,,
Sardine,NA,79.5466 ,,,
Anchovy,NA,77.5274 ,unknown,188,NaN
Shark,NA,78.3383 ,unknown,,
Cod,NA,79.0456,unknown,?,NaN
Anchovy,,78.6133,,?,NaN
Snapper,9.6358,79.9325 ,unknown,264,
Shark,,78.6018,unknown,551,54.97
Cod,,,unknown,581,NaN
Tuna,NA,79.2794 ,,,82.59
Anchovy, 9.1469 ,78.9188 ,,,24.38
Salmon, 10.9797 ,null,,,
Mackerel,,,29.8,?,NaN
Shark,NA,79.1024 ,,,57.46
Anchovy,,77.3404,,?,NaN
Snapper, 9.3252 ,79.3685,unknown,,
Cod,9.9419,,24.8,,NaN
Snapper,10.3092,null,,,
Grouper, 9.8499 ,78.2768 ,unknown,?,
Cod,9.447,77.6679,26.7,,
Grouper,9.4223,79.8708,unknown,?,85.93
Barracuda,9.1366,78.1542 ,,577,
Salmon,10.2817,79.5822 ,,436,14.76
Tuna,,,unknown,,
Snapper,,,25.1,,
Mackerel,9.0473,null,unknown,,NaN
Snapper,NA,79.1325 ,unknown,332,NaN
Snapper,9.6606,77.5034,unknown,?,
Mackerel,,77.6472,,,
Anchovy,10.1207,null,unknown,?,
Anchovy,NA,,unknown,337,
Cod,10.7889,null,32.5,?,NaN
Anchovy, 10.1632 ,79.7801 ,23.7,?,NaN
Barracuda, 10.0287 ,,,,95.92
Salmon,,78.9218 ,32.1,?,25.56
Cod,,,25.2,42,
Mackerel,,77.5695,31.1,,
Salmon,,77.3474 ,31.2,,NaN
Cod,10.1195,78.8246 ,,76,NaN
Anchovy,10.2107,null,23.3,,
Anchovy, 9.1536 ,78.4876 ,30.9,,6.6
Shark,9.4902,null,28.5,,NaN
Tuna,NA,77.9839 ,,?,31.76
