Name,Lat,Long,Place,Depth,Temp
Salmon,10.4042,,Goa,,?
Tuna,10.1668,null,Mumbai,unknown,46
Mackerel,,,Kerala,,
Grouper,9.9528,78.3351,Mumbai,,?
Anchovy,NA,78.3853,Goa,23.2,
Barracuda,NA,79.3992,Alaska,,?
Cod,10.9621,null,Kolkata,24.2,?
Anchovy,10.2935,,Goa,unknown,43
Tuna,NA,78.2469,Mumbai,,
Grouper,,,Kerala,,597
Barracuda,,,Mumbai,,
Cod,NA,78.9148,,unknown,
Barracuda,9.0735,,,unknown,?
Anchovy,9.4745,,,,?
Salmon,NA,79.2027,,unknown,586
Grouper,9.9051,null,,,
Barracuda,NA,78.2934,,,?
Anchovy,,null,,,
Snapper,9.7585,79.0602,,,?
Anchovy,,null,,,441
Barracuda,NA,79.9311,,27.3,
Shark,,null,,unknown,192
Sardine,NA,77.5186,,26.1,
Barracuda,9.5987,78.0604,,,?
Mackerel,NA,,,unknown,?
Barracuda,NA,77.5885,,,?
Cod,10.6639,78.2325,,31.2,42
Barracuda,9.7205,,,unknown,?
Tuna,10.1089,79.7921,,unknown,?
Snapper,,null,,32.4,
Salmon,10.4606,77.0258,,unknown,?
Grouper,NA,,,,459
Sardine,9.7945,77.6719,,unknown,
Barracuda,NA,null,,25.4,
Anchovy,NA,79.7407,,,
Tuna,9.4968,77.5394,,,
Mackerel,,,,,
Shark,9.8828,null,,unknown,
Snapper,NA,78.4054,,24.5,448
Tuna,,79.1937,,27.2,203
Barracuda,10.0846,77.7106,,28.8,201
Mackerel,10.0724,,,29,494
Mackerel,9.1887,79.4028,,unknown,479
Anchovy,,79.8483,,23.3,92
Mackerel,10.7582,null,,26.5,?
Shark,,78.083,,unknown,?
Barracuda,,null,,32.8,
Shark,9.1938,79.5713,,unknown,
Tuna,NA,77.9959,,,427
Barracuda,NA,78.9171,,,
Tuna,10.6347,null,,,
Tuna,,null,,25.9,31
Tuna,10.6577,null,,,
Grouper,NA,,,,?
Barracuda,,,,23.7,?
Shark,,null,,,?
Snapper,9.7736,,,unknown,
Cod,,,,28.8,264
Snapper,,79.9614,,unknown,?
Anchovy,NA,78.9293,,,
Anchovy,10.3433,,,unknown,?
Tuna,,77.8535,,25.8,145
Sardine,NA,77.9801,,,
Grouper,10.8022,79.6331,,26.6,
Cod,9.575,79.7221,,32.9,
Anchovy,10.4514,77.1984,,29.9,?
Tuna,10.2975,79.2462,,,81
Mackerel,10.7862,null,,,?
Shark,,79.4195,,,?
Anchovy,,77.446,,,?
Grouper,NA,,,,
Cod,10.6841,null,,,187
Sardine,,79.5409,,30.6,31
Cod,9.1578,78.3094,,28.9,?
Shark,10.6887,null,,unknown,165
Cod,10.5058,,,unknown,?
Snapper,10.6037,null,,27.9,230
Tuna,,,,,
Anchovy,10.8,,,,?
Barracuda,10.9811,,,unknown,
Shark,9.8411,78.4063,,23,?
Snapper,10.6025,77.0647,,,
Grouper,10.1326,null,,unknown,
Snapper,10.9595,null,,unknown,?
Anchovy,9.3133,79.748,,unknown,91
Tuna,10.4364,79.2134,,25,305
Sardine,10.9033,,,32.2,?
Shark,NA,null,,26.7,114
Cod,9.7686,,,unknown,?
Mackerel,10.0695,78.4687,,unknown,?
Mackerel,,,,,282
Grouper,9.6661,,,24.1,178
Barracuda,NA,,,unknown,205
Barracuda,10.6719,,,,128
Shark,10.0125,null,,,?
Grouper,10.8204,,,,188
Cod,,,,unknown,
Sardine,NA,78.8157,,,
Anchovy,10.6714,,,,112
Grouper,,77.2167,,,529
Sardine,9.5686,null,,32.8,
Sardine,10.2379,78.2661,,,
Shark,NA,77.4805,,,325
Barracuda,,78.9356,,unknown,
Cod,10.3066,78.3511,,,?
Anchovy,NA,78.2816,,unknown,442
Cod,,78.9312,,24.8,
Cod,10.1185,,,,?
Shark,9.0859,,,unknown,?
Anchovy,10.7488,null,,,249
Barracuda,9.9955,78.8352,,unknown,
Tuna,9.2251,,,32.6,
Shark,,78.1191,,unknown,169
Sardine,NA,77.104,,unknown,
Shark,10.0269,null,,29.4,?
Sardine,NA,79.5457,,unknown,
Mackerel,10.0495,,,,?
Grouper,,null,,unknown,73
Anchovy,NA,,Goa,32.5,591
Shark,10.4041,,Alaska,28.8,486
Cod,9.8469,78.4983,Kolkata,,
Salmon,10.5061,,Goa,,
Anchovy,10.0319,null,Mumbai,unknown,
Snapper,,79.718,Kerala,25,171
Anchovy,9.9499,,Mumbai,,
Anchovy,NA,null,,unknown,54
Cod,10.2003,null,,unknown,
Barracuda,10.0073,null,,,
Tuna,9.6395,null,,,?
Mackerel,,null,,,
Mackerel,,78.6612,,,
Shark,9.5546,,,unknown,
Snapper,,,,unknown,
Barracuda,10.6835,null,,,
Barracuda,9.3248,null,,24.8,
Sardine,NA,79.5466,Goa,,
Anchovy,NA,77.5274,Alaska,unknown,188
Shark,NA,78.3383,Kolkata,unknown,
Cod,NA,79.0456,Goa,unknown,?
Anchovy,,78.6133,Mumbai,,?
Snapper,9.6358,79.9325,Kerala,unknown,264
Shark,,78.6018,Mumbai,unknown,551
Cod,,,,unknown,581
Tuna,NA,79.2794,,,
Anchovy,9.1469,78.9188,,,
Salmon,10.9797,null,,,
Mackerel,,,,29.8,?
Shark,NA,79.1024,,,
Anchovy,,77.3404,,,?
Snapper,9.3252,79.3685,,unknown,
Cod,9.9419,,,24.8,
Snapper,10.3092,null,,,
Grouper,9.8499,78.2768,,unknown,?
Cod,9.447,77.6679,,26.7,
Grouper,9.4223,79.8708,,unknown,?
Barracuda,9.1366,78.1542,,,577
Salmon,10.2817,79.5822,,,436
Tuna,,,,unknown,
Snapper,,,,25.1,
Mackerel,9.0473,null,,unknown,
Snapper,NA,79.1325,,unknown,332
Snapper,9.6606,77.5034,,unknown,?
Mackerel,,77.6472,,,
Anchovy,10.1207,null,Goa,unknown,?
Anchovy,NA,,Alaska,unknown,337
Cod,10.7889,null,Kolkata,32.5,?
Anchovy,10.1632,79.7801,Goa,23.7,?
Barracuda,10.0287,,Mumbai,,
Salmon,,78.9218,Kerala,32.1,?
Cod,,,Mumbai,25.2,42
Mackerel,,77.5695,,31.1,
Salmon,,77.3474,,31.2,
Cod,10.1195,78.8246,,,76
Anchovy,10.2107,null,,23.3,
Anchovy,9.1536,78.4876,,30.9,
Shark,9.4902,null,,28.5,
Tuna,NA,77.9839,,,?
